Date,Hour,Imports,Exports
15-Jan-14,24,658,"1,131"
16-Jan-14,1,159,"1,025"
16-Jan-14,2,158,"1,513"
16-Jan-14,3,158,"1,886"
16-Jan-14,4,158,"1,876"
16-Jan-14,5,158,"1,761"
16-Jan-14,6,158,"1,732"
16-Jan-14,7,330,"1,558"
16-Jan-14,8,989,"1,594"
16-Jan-14,9,"1,209","1,712"
16-Jan-14,10,"1,118","1,484"
16-Jan-14,11,679,"1,369"
16-Jan-14,12,500,"1,704"
16-Jan-14,13,500,"1,986"
16-Jan-14,14,524,"2,220"
16-Jan-14,15,530,"2,179"
16-Jan-14,16,186,"1,920"
16-Jan-14,17,729,"1,663"
16-Jan-14,18,"1,529","1,946"
16-Jan-14,19,"1,281","1,527"
16-Jan-14,20,"1,125","1,669"
16-Jan-14,21,966,"1,667"
16-Jan-14,22,656,"1,037"
16-Jan-14,23,234,"1,231"
16-Jan-14,24,158,"1,855"
17-Jan-14,1,158,"2,345"
17-Jan-14,2,158,"2,459"
17-Jan-14,3,158,"2,420"
17-Jan-14,4,158,"2,678"
17-Jan-14,5,158,"2,716"
17-Jan-14,6,158,"2,735"
17-Jan-14,7,268,"2,041"
17-Jan-14,8,628,"1,624"
17-Jan-14,9,628,"1,369"
17-Jan-14,10,928,"1,626"
17-Jan-14,11,"1,175","1,556"
17-Jan-14,12,"1,153","1,844"
17-Jan-14,13,545,"1,332"
17-Jan-14,14,650,"1,286"
17-Jan-14,15,606,"1,042"
17-Jan-14,16,586,"1,222"
17-Jan-14,17,"1,036",972
17-Jan-14,18,"1,651","1,540"
17-Jan-14,19,"1,091","1,023"
17-Jan-14,20,"1,212","1,322"
17-Jan-14,21,722,690
17-Jan-14,22,183,812
17-Jan-14,23,183,"1,305"
17-Jan-14,24,183,"1,206"
18-Jan-14,1,593,"1,964"
18-Jan-14,2,248,"1,904"
18-Jan-14,3,196,"2,012"
18-Jan-14,4,248,"2,537"
18-Jan-14,5,285,"2,671"
18-Jan-14,6,318,"2,100"
18-Jan-14,7,270,"1,899"
18-Jan-14,8,359,"1,760"
18-Jan-14,9,601,"1,801"
18-Jan-14,10,841,"1,843"
18-Jan-14,11,474,"1,698"
18-Jan-14,12,442,"1,606"
18-Jan-14,13,726,"1,911"
18-Jan-14,14,371,"1,821"
18-Jan-14,15,311,"1,902"
18-Jan-14,16,437,"2,063"
18-Jan-14,17,"1,217","2,019"
18-Jan-14,18,"2,127","2,280"
18-Jan-14,19,"1,728","2,365"
18-Jan-14,20,"1,080","2,247"
18-Jan-14,21,"1,404","2,424"
18-Jan-14,22,957,"1,930"
18-Jan-14,23,"1,052","1,881"
18-Jan-14,24,642,"1,894"
19-Jan-14,1,911,"2,307"
19-Jan-14,2,208,"2,289"
19-Jan-14,3,499,"2,646"
19-Jan-14,4,628,"2,771"
19-Jan-14,5,638,"2,530"
